Image name,Curve Value,Cross Value,Lift value
sig(1).jpg,12,4,3
sig(2).jpg,18,4,3
sig(3).jpg,12,1,1
sig(4).jpg,17,2,3
sig(5).jpg,4,0,1
sig(6).jpg,30,6,4
sig(7).jpg,15,4,3
sig(8).jpg,11,7,1
sig(9).jpg,13,9,1
sig(10).jpg,5,3,1
sig(11).jpg,19,5,2
sig(12).jpg,6,8,2
sig(13).jpg,8,4,2
sig(14).jpg,29,6,1
sig(15).jpg,6,3,2
sig(16).jpg,16,3,3
sig(17).jpg,15,3,1
sig(18).jpg,23,4,1
sig(19).jpg,24,5,3
sig(20).jpg,21,4,5
sig(21).jpg,21,10,2
sig(22).jpg,4,1,2
sig(23).jpg,13,2,2
sig(24).jpg,8,1,3
sig(25).jpg,15,3,1
sig(26).jpg,14,5,3
sig(27).jpg,22,10,4
sig(28).jpg,5,3,1
sig(29).jpg,12,13,2
sig(30).jpg,5,2,3
sig(31).jpg,13,1,1
sig(32).jpg,19,1,3
sig(33).jpg,9,1,1
sig(34).jpg,28,16,3
sig(35).jpg,15,6,1
sig(36).jpg,18,6,11
sig(37).jpg,5,2,1
sig(38).jpg,11,1,2
sig(39).jpg,16,2,6
sig(40).jpg,15,3,2
sig(41).jpg,5,4,1
sig(42).jpg,8,1,1
sig(43).jpg,12,4,1
sig(44).jpg,3,4,1
sig(45).jpg,23,6,3
sig(46).jpg,6,3,5
sig(47).jpg,7,1,1
sig(48).jpg,16,12,2
sig(49).jpg,28,11,3
sig(50).jpg,34,7,3
sig(51).jpg,11,2,1
sig(52).jpg,35,1,1
sig(53).jpg,15,4,1
sig(54).jpg,12,12,3
sig(55).jpg,7,3,2
sig(56).jpg,11,6,2
sig(57).jpg,4,1,2
sig(58).jpg,30,6,5
sig(59).jpg,9,4,1
sig(60).jpg,4,0,1
sig(61).jpg,20,1,4
sig(62).jpg,9,6,2
sig(63).jpg,10,9,2
sig(64).jpg,9,3,5
sig(65).jpg,10,2,3
sig(66).jpg,10,13,1
sig(67).jpg,14,4,1
sig(68).jpg,17,10,1
sig(69).jpg,13,5,3
sig(70).jpg,13,5,4
sig(71).jpg,3,1,1
sig(72).jpg,15,5,3
sig(73).jpg,14,2,1
sig(74).jpg,20,14,1
sig(75).jpg,15,2,2
sig(76).jpg,8,5,3
sig(77).jpg,24,15,2
sig(78).jpg,14,10,1
sig(79).jpg,31,9,5
sig(80).jpg,14,3,5
sig(81).jpg,17,6,3
sig(82).jpg,7,12,1
sig(83).jpg,19,2,1
sig(84).jpg,7,4,2
sig(85).jpg,11,5,1
sig(86).jpg,26,3,5
sig(87).jpg,16,15,2
sig(88).jpg,13,5,1
sig(89).jpg,15,7,3
sig(90).jpg,21,6,1
sig(91).jpg,15,5,5
sig(92).jpg,23,4,3
sig(93).jpg,17,10,1
sig(94).jpg,6,1,2
sig(95).jpg,10,1,1
sig(96).jpg,9,0,1
sig(97).jpg,8,8,2
sig(98).jpg,12,5,3
sig(99).jpg,7,4,2
sig(100).jpg,23,2,4
