Set_Type,Image_Index,True_Curve,Pred_Curve,Diff_Curve,True_Lift,Pred_Lift,Diff_Lift,True_Cross,Pred_Cross,Diff_Cross
Training,0,9.0,12.7449,3.7449,1.0,1.9011,0.9011,4.0,4.4979,0.4979
Training,1,15.0,12.8661,2.1339,3.0,1.8331,1.1669,7.0,4.9975,2.0025
Training,2,19.0,14.3174,4.6826,3.0,2.233,0.767,1.0,4.6658,3.6658
Training,3,7.0,11.6256,4.6256,1.0,1.6687,0.6687,1.0,4.7861,3.7861
Training,4,3.0,11.6892,8.6892,1.0,1.6167,0.6167,1.0,4.8495,3.8495
Training,5,4.0,11.918,7.918,2.0,2.0458,0.0458,1.0,3.2678,2.2678
Training,6,23.0,12.4677,10.5323,3.0,2.0617,0.9383,6.0,3.752,2.248
Training,7,9.0,11.6111,2.6111,1.0,1.6991,0.6991,0.0,4.3805,4.3805
Training,8,15.0,15.0239,0.0239,1.0,2.2905,1.2905,3.0,5.0589,2.0589
Training,9,20.0,14.2753,5.7247,1.0,2.0793,1.0793,14.0,5.291,8.709
Training,10,24.0,13.1475,10.8525,3.0,1.8413,1.1587,5.0,5.1766,0.1766
Training,11,11.0,13.7167,2.7167,1.0,1.9017,0.9017,2.0,5.4558,3.4558
Training,12,26.0,14.0188,11.9812,5.0,1.8318,3.1682,3.0,5.9401,2.9401
Training,13,28.0,14.8032,13.1968,3.0,2.2441,0.7559,16.0,5.0733,10.9267
Training,14,17.0,12.1794,4.8206,1.0,1.8751,0.8751,10.0,4.234,5.766
Training,15,8.0,11.1724,3.1724,2.0,1.6801,0.3199,4.0,4.0478,0.0478
Training,16,13.0,11.3365,1.6635,3.0,1.5351,1.4649,5.0,4.8769,0.1231
Training,17,17.0,13.1102,3.8898,1.0,1.6716,0.6716,10.0,5.7188,4.2812
Training,18,15.0,11.0405,3.9595,2.0,1.9247,0.0753,3.0,3.2031,0.2031
Training,19,13.0,14.5998,1.5998,2.0,2.2779,0.2779,2.0,4.7909,2.7909
Training,20,15.0,13.6039,1.3961,1.0,2.0684,1.0684,4.0,4.7537,0.7537
Training,21,17.0,14.1941,2.8059,3.0,2.0233,0.9767,2.0,5.2845,3.2845
